Company_Name,Experience_Required,Job_Description,Job_Title,Keyskills,Link,Location,Posted_By,Posted_On,Salary
HR SYNERGY,5-10 yrs,Experience in managing multiple concurrent initiatives from multiple regions or clients;Self-driven and ...,Senior Associate Data Analytics - Big4,"auditing, data analytics, process improvement, Analytics, SQL, SSIS, SSRS...",https://www.naukri.com/job-listings-Senior-Associate-Data-Analytics-Big4-HR-SYNERGY-Gurgaon-Trivandrum-5-to-10-years-140818900615?src=jobsearchDesk&sid=15381483126906&xp=36&px=1,"Gurgaon, Trivandrum",  HR  ,36 days ago,  Not disclosed 
Destination HR,10-20 yrs,N/A,Vice President (V) - Data Analytics,"data analytics, data modeling, data mining, data extraction, senior analyst...","https://www.naukri.com/job-listings-Vice-President-V-Data-Analytics-Destination-HR-Mumbai-Delhi-NCR-Bengaluru-10-to-20-years-200918000679?src=jobsearchDesk&sid=15381483126906&xp=37&px=1,https://www.naukri.com/recruiters/profile/veerraghuwanshi-3690166?xz=0_0_7,https://www.naukri.com/recruiters/profile/veerraghuwanshi-3690166?xz=0_0_7","Mumbai, Delhi NCR, Bengaluru",  Veer Raghuwanshi  ,8 days ago,  Not disclosed 
Fsck System Services  Private Limited,2-7 yrs,"-	Experience with one or more general purpose programming languages including but not limited to: Java, ...",Senior Engineer - Data Analytics/ Machine Learning,"Hadoop, Hive, NoSQL, Spark, Cassandra, Neo4J, Artificial Intelligence...","https://www.naukri.com/job-listings-Senior-Engineer-Data-Analytics-Machine-Learning-Fsck-System-Services-Private-Limited-Chennai-Gurgaon-2-to-7-years-290818003443?src=jobsearchDesk&sid=15381483126906&xp=38&px=1,https://www.naukri.com/recruiters/profile/senthilkumar-3336496?xz=0_0_7,https://www.naukri.com/recruiters/profile/senthilkumar-3336496?xz=0_0_7","Chennai, Gurgaon",  Senthil Kumar  ,30 days ago,  Not disclosed 
Vichara Technology (India) Private Limited,6-10 yrs,N/A,Vlens Developer,"WPF, Winforms, SQL, Data Management, Amazon Ec2, Amazon Redshift, lambda...","https://www.naukri.com/job-listings-Vlens-Developer-Vichara-Technology-India-Private-Limited-Delhi-NCR-6-to-10-years-260918004704?src=jobsearchDesk&sid=15381483126906&xp=39&px=1,https://www.naukri.com/recruiters/profile/mrvineetsamson-32603?xz=0_0_7,https://www.naukri.com/recruiters/profile/mrvineetsamson-32603?xz=0_0_7",Delhi NCR,  Mr. Vineet Samson  ,Today,"    10,00,000 - 20,00,000 P.A.  "
Next Step Services Private Limited,3-5 yrs,"Hands-on experience in model building - logistic, liner regression, time series & behavior ...",Data Analytics/data Miner US Healthcare Domain/ UK Shift,"Advanced Excel, Data Analysis, Time Series, Data Mining, SAS...","https://www.naukri.com/job-listings-Data-Analytics-data-Miner-US-Healthcare-Domain-UK-Shift-Next-Step-Services-Private-Limited-Gurgaon-3-to-5-years-210818007692?src=jobsearchDesk&sid=15381483126906&xp=40&px=1,https://www.naukri.com/recruiters/profile/meghanagari-261117?xz=0_0_7,https://www.naukri.com/recruiters/profile/meghanagari-261117?xz=0_0_7",Gurgaon,  Megha Nagari  ,36 days ago,  Not disclosed 
Crowdsource Technologies Pvt Ltd,2-4 yrs,Job Description:  - Work with the team to build and support thesqua.re and all its affiliated ...,Product Manager,"product management, product roadmap, Data Analyst, Data Analytics...","https://www.naukri.com/job-listings-Product-Manager-Crowdsource-Technologies-Pvt-Ltd-Delhi-2-to-4-years-260918005109?src=jobsearchDesk&sid=15381483126906&xp=41&px=1,https://www.naukri.com/recruiters/profile/swatirajput-hrmanager-delhi?xz=0_0_7,https://www.naukri.com/recruiters/profile/swatirajput-hrmanager-delhi?xz=0_0_7",Delhi,  Swati Rajput  ,2 days ago,"    8,00,000 - 9,50,000 P.A.  "
HuQuo Consulting Pvt. Ltd.,2-5 yrs,- 2-5 years of total experience of Data Analytics / Data Insights Generation;- Experience in credit card ...,Business Analyst/senior Business Analyst - Data Analytics - BFSI,"Business Analyst, Data Analytics, Analytics, Data Insights Generation, SAS,...","https://www.naukri.com/job-listings-Business-Analyst-senior-Business-Analyst-Data-Analytics-BFSI-HuQuo-Consulting-Pvt-Ltd-Delhi-NCR-2-to-5-years-210818001201?src=jobsearchDesk&sid=15381483126906&xp=42&px=1,https://www.naukri.com/recruiters/profile/manoj-2685128?xz=0_0_7,https://www.naukri.com/recruiters/profile/manoj-2685128?xz=0_0_7",Delhi NCR,  Manoj  ,38 days ago,  Not disclosed 
R Systems International Ltd.,13-18 yrs,Experience of handling high frequency streaming data for real time analysis and reporting;Experience ...,Lead Data Scientist,"data analytics, predictive modeling, python, r programming...","https://www.naukri.com/job-listings-Lead-Data-Scientist-R-Systems-International-Ltd-Noida-13-to-18-years-110518004030?src=jobsearchDesk&sid=15381483126906&xp=43&px=1,https://www.naukri.com/recruiters/profile/pawanmehta-163669?xz=0_0_7,https://www.naukri.com/recruiters/profile/pawanmehta-163669?xz=0_0_7",Noida,  Pawan Mehta  ,Today,  Not disclosed 
Parishram Resources Pvt. Ltd.,4-8 yrs,"Experience: 4 - 8 years;Technical skill sets: Experience in SQL, R, SAS added advantage;Office Timings: ...",Data Analytics,"SQL, SAS, Data Analytics, R, Reporting, Data Collection...",https://www.naukri.com/job-listings-Data-Analytics-Parishram-Resources-Pvt-Ltd-Delhi-4-to-8-years-120118006238?src=jobsearchDesk&sid=15381483126906&xp=44&px=1,Delhi,  HR  ,32 days ago,  Not disclosed 
MNC Company,0-1 yrs,N/A,Trainee - Big Data  / Hadoop,"big data, big data analytics, big data mining",https://www.naukri.com/job-listings-Trainee-Big-Data-Hadoop-MNC-Company-Delhi-NCR-Mumbai-Bengaluru-Hyderabad-0-to-1-years-270918002683?src=jobsearchDesk&sid=15381483126906&xp=47&px=1,"Delhi NCR, Mumbai, Bengaluru, Hyderabad",  Shweta  ,1 day ago,"    4,00,000 - 8,00,000 P.A.  "
Megma Services,2-5 yrs,- Years of experience : 2- 4 years;- Manage Account resources where required to assist with account ...,Manager - Client Service & Brand Communication - Advertising/pr Firm,"advertising, finance, client servicing, loyalty programs...",https://www.naukri.com/job-listings-Manager-Client-Service-Brand-Communication-Advertising-pr-Firm-Megma-Services-Delhi-2-to-5-years-260918900177?src=jobsearchDesk&sid=15381483126906&xp=48&px=1,Delhi,  HR  ,2 days ago,  Not disclosed 
Client of Contactx Resource Management Pvt. Ltd.,3-8 yrs,"Experience in any web-framework, micro services, REST APIs, highly scalable databases;Hands on ...",Senior Software Engineer-pritampura -delhi,"C, C++, Software Engineering, Python, Product Design, Programming...","https://www.naukri.com/job-listings-Senior-Software-Engineer-pritampura-delhi-Client-of-Contactx-Resource-Management-Pvt-Ltd-Delhi-NCR-Delhi-3-to-8-years-260918004989?src=jobsearchDesk&sid=15381483126906&xp=49&px=1,https://www.naukri.com/recruiters/profile/consultant-2592?xz=0_0_7,https://www.naukri.com/recruiters/profile/consultant-2592?xz=0_0_7","Delhi NCR, Delhi",  Consultant  ,2 days ago,"    3,00,000 - 8,00,000 P.A.  "
One Mobikwik Systems Pvt.Ltd,3-6 yrs,* Must have at least 3+ Years of experience in a similar role;* Specialized knowledge: Hands-on ...,Operations Manager- Mobikwik,"sales, operations management, operation team, data analysis...","https://www.naukri.com/job-listings-Operations-Manager-Mobikwik-One-Mobikwik-Systems-Pvt-Ltd-Gurgaon-3-to-6-years-210918005130?src=jobsearchDesk&sid=15381483126906&xp=50&px=1,https://www.naukri.com/recruiters/profile/arjunanand-3433644?xz=0_0_7,https://www.naukri.com/recruiters/profile/arjunanand-3433644?xz=0_0_7",Gurgaon,  Arjun Anand  ,7 days ago,"    4,00,000 - 6,50,000 P.A.  "
